trial,truth,prediction,prob_left,prob_right,score
1,right,left,0.686891104,0.313108896,0
2,left,none,0.520950716,0.479049284,0
3,right,right,0.247294773,0.752705227,1
4,left,left,0.602392022,0.397607978,2
5,right,none,0.469977391,0.530022609,2
6,right,right,0.198702034,0.801297966,3
7,right,left,0.70503701,0.29496299,3
8,left,left,0.604531932,0.395468068,4
9,left,none,0.576411252,0.423588748,4
10,left,left,0.811868769,0.188131231,5
11,right,none,0.526046233,0.473953767,5
12,right,none,0.469494353,0.530505647,5
13,left,left,0.708002465,0.291997535,6
14,left,none,0.438100151,0.561899849,6
15,left,none,0.446205615,0.553794385,6
16,right,none,0.430467968,0.569532032,6
17,right,right,0.243422834,0.756577166,7
18,left,left,0.709667769,0.290332231,8
19,right,right,0.121706043,0.878293957,9
20,left,none,0.564913726,0.435086274,9
21,right,none,0.430465935,0.569534065,9
22,left,none,0.481741161,0.518258839,9
23,left,left,0.669519207,0.330480793,10
24,right,none,0.522964526,0.477035474,10
25,left,left,0.668333491,0.331666509,11
26,left,left,0.672834107,0.327165893,12
27,right,right,0.265504382,0.734495618,13
28,right,none,0.47541553,0.52458447,13
29,left,left,0.837148244,0.162851756,14
30,right,none,0.403409809,0.596590191,14
31,left,none,0.523892293,0.476107707,14
32,right,none,0.416905926,0.583094074,14
33,right,none,0.40849146,0.59150854,14
34,left,none,0.407869056,0.592130944,14
35,right,right,0.147225446,0.852774554,15
36,right,right,0.3118279,0.6881721,16
37,right,none,0.426884535,0.573115465,16
38,left,left,0.836957683,0.163042317,17
39,left,left,0.778671596,0.221328404,18
40,right,right,0.384889724,0.615110276,19
41,left,none,0.49557869,0.50442131,19
42,right,right,0.359685801,0.640314199,20
43,left,none,0.502206928,0.497793072,20
44,left,left,0.615308417,0.384691583,21
45,left,none,0.599349536,0.400650464,21
46,right,none,0.490787073,0.509212927,21
47,right,right,0.277089236,0.722910764,22
48,left,none,0.463591777,0.536408223,22
49,left,left,0.611907653,0.388092347,23
50,left,left,0.711176907,0.288823093,24
51,right,none,0.445953837,0.554046163,24
52,left,none,0.577963244,0.422036756,24
53,right,right,0.387678153,0.612321847,25
54,right,none,0.48891973,0.51108027,25
55,left,none,0.546739275,0.453260725,25
56,right,right,0.313618265,0.686381735,26
57,left,none,0.438275252,0.561724748,26
58,right,right,0.384033625,0.615966375,27
